,caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
14,168076714,0.990411168212098,Definitely the rightful winner,Entirely legitimate,Joe Biden,1977,43,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,11710,New York,Moderate; middle of the road,Professional or doctorate degree,No,White,Yes,Most of the time,Agnostic,Seldom,No,Not at all important,Never,13
15,142184293,0.781994109868948,Definitely the rightful winner,Entirely legitimate,Joe Biden,1957,63,55 - 64,Female,Married,Homemaker,"$30,000 - $39,999",Democrat,Not very strong Democrat,Did not vote for President,6606,Connecticut,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,No,Only now and then,Roman Catholic,Never,No,Not too important,Once a day,13
16,212505097,1.22969723308439,Probably not the rightful winner,Not very legitimate,Donald Trump,1964,56,55 - 64,Female,Widowed,Permanently disabled,"$40,000 - $49,999",Other,Lean Republican,Donald Trump,85737,Arizona,Somewhat conservative,Bachelor's degree,No,White,Yes,Some of the time,Nothing in particular,Never,No,Not too important,A few times a month,13
17,7354438,1.29801843425129,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1968,52,45 - 54,Male,Married,Unemployed,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,15112,Pennsylvania,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Once or twice a month,Yes,Very important,A few times a week,13
18,222832093,1.23766391514082,Probably not the rightful winner,Not legitimate at all,Someone else,1957,63,55 - 64,Male,Domestic / civil partnership,Retired,"Less than $10,000",Democrat,Not very strong Democrat,Donald Trump,94025,California,Somewhat liberal,Professional or doctorate degree,No,White,Yes,Some of the time,Protestant,Never,Yes,Somewhat important,Several times a day,13
19,58563991,1.29801843425129,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1956,64,55 - 64,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,77471,Texas,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
20,153326461,1.45790533530833,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1961,59,55 - 64,Male,Domestic / civil partnership,Permanently disabled,"$20,000 - $29,999",Democrat,Not very strong Democrat,Donald Trump,40371,Kentucky,Somewhat conservative,Some college,No,White,Yes,Most of the time,Protestant,Seldom,Yes,Very important,A few times a week,13
21,129661942,0.941946616546689,Probably not the rightful winner,Not very legitimate,Donald Trump,1939,81,75 - 84,Female,Married,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,48186,Michigan,Slightly conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Seldom,Yes,Very important,Once a day,13
22,204678286,1.02272832552888,Probably not the rightful winner,Not legitimate at all,,2001,19,18 - 24,Female,Never married,Part-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,44035,Ohio,Slightly conservative,Some college,No,Multi-racial,Yes,Hardly at all,Nothing in particular,Never,No,Not at all important,Never,13
23,219210457,0.995239326840527,Definitely the rightful winner,Entirely legitimate,Joe Biden,1966,54,45 - 54,Male,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,91301,California,Slightly liberal,Bachelor's degree,No,White,Yes,Most of the time,Agnostic,Seldom,No,Not at all important,Seldom,13
24,173512237,0.48806466753506,Probably the rightful winner,Somewhat legitimate,Someone else,1947,73,65 - 74,Female,Divorced,Retired,"$30,000 - $39,999",Other,Independent,Jill Stein,95073,California,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
25,204988954,0.96575412735746,Definitely the rightful winner,Entirely legitimate,Joe Biden,1993,27,25 - 34,Male,Never married,Part-time,Prefer not to say,Independent,Lean Democrat,Did not vote for President,92867,California,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,13
26,33319657,1.06355890762245,Definitely the rightful winner,Entirely legitimate,Joe Biden,1958,62,55 - 64,Male,Married,Full-time,"$350,000 - $499,999",Democrat,Not very strong Democrat,Hillary Clinton,92065,California,Moderate; middle of the road,Bachelor's degree,No,Black or African American,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,13
27,185804881,0.764701157922805,Definitely not the rightful winner,Not very legitimate,,1985,35,35 - 44,Female,Married,Homemaker,"$10,000 - $19,999",Republican,Not very strong Republican,Did not vote for President,72653,Arkansas,Very liberal,High school diploma or the equivalent (GED),No,White,No,Some of the time,Nothing in particular,Seldom,No,Somewhat important,Never,13
28,136343389,0.995679177114876,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,1863,Massachusetts,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,13
29,223535311,1.02905252859837,Definitely the rightful winner,Entirely legitimate,Joe Biden,1988,32,25 - 34,Female,Married,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,2139,Massachusetts,Very liberal,Professional or doctorate degree,No,White,Yes,Most of the time,Nothing in particular,Seldom,No,Not too important,Seldom,13
30,206865238,0.853830665451112,Definitely the rightful winner,Entirely legitimate,Joe Biden,1967,53,45 - 54,Female,Divorced,Full-time,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,53515,Wisconsin,Slightly liberal,Professional or doctorate degree,No,White,Yes,Most of the time,Jewish,Seldom,No,Not too important,A few times a month,13
31,7163101,0.761280687649679,Definitely the rightful winner,Entirely legitimate,Joe Biden,1958,62,55 - 64,Male,Never married,Retired,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,94109,California,Slightly liberal,Some college,No,White,Yes,Most of the time,Protestant,A few times a year,No,Very important,Once a day,13
32,209341324,1.05797415790767,Probably not the rightful winner,Not very legitimate,Donald Trump,1953,67,65 - 74,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,85643,Arizona,Somewhat conservative,Some college,No,White,Yes,Most of the time,Protestant,Seldom,No,Not too important,A few times a week,13
33,211320532,1.10189649783883,Definitely the rightful winner,Entirely legitimate,Joe Biden,1969,51,45 - 54,Female,Married,Part-time,"$50,000 - $59,999",Republican,Not very strong Republican,Did not vote for President,17401,Pennsylvania,Slightly conservative,Some college,No,White,Yes,Some of the time,Nothing in particular,Never,No,Not too important,A few times a week,13
34,393100012,1.10189649783883,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1965,55,55 - 64,Female,Married,Part-time,"$50,000 - $59,999",Independent,Lean Republican,Did not vote for President,33021,Florida,Somewhat conservative,Some college,No,White,Yes,Some of the time,Jewish,Seldom,No,Not too important,Once a week,13
35,363844408,0.982129277662595,Definitely the rightful winner,Entirely legitimate,Joe Biden,1969,51,45 - 54,Female,Domestic / civil partnership,Full-time,"$150,000 - $199,999",Democrat,Not very strong Democrat,Did not vote for President,43147,Ohio,Moderate; middle of the road,Associate's degree,No,Black or African American,Yes,Most of the time,Protestant,A few times a year,No,Somewhat important,Several times a day,13
36,170472607,0.952010879862631,Probably not the rightful winner,Not very legitimate,Donald Trump,1979,41,35 - 44,Female,Widowed,Permanently disabled,"$10,000 - $19,999",Republican,Strong Republican,Did not vote for President,32127,Florida,Somewhat conservative,Some college,No,White,Yes,Most of the time,Protestant,A few times a year,Yes,Very important,Several times a day,13
37,166857586,1.33927738748732,Probably not the rightful winner,Not very legitimate,Donald Trump,1973,47,45 - 54,Male,Married,Full-time,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,17815,Pennsylvania,Very conservative,Master's degree,No,White,Yes,Most of the time,Something else,Once a week,Yes,Somewhat important,A few times a week,13
38,160337380,0.746287713210358,Definitely the rightful winner,Entirely legitimate,Joe Biden,1985,35,35 - 44,Female,Never married,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,8610,New Jersey,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Jewish,Never,No,Somewhat important,A few times a month,13
39,50085793,0.872993888080957,Definitely the rightful winner,Entirely legitimate,Joe Biden,1983,37,35 - 44,Female,Never married,Unemployed,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,60462,Illinois,Somewhat liberal,Master's degree,No,Asian/Pacific Islander,Yes,Most of the time,Hindu,More than once a week,No,Very important,Once a day,13
40,210768400,0.941946616546689,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1934,86,85 or older,Female,Divorced,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,47150,Indiana,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
41,214813417,1.20316705666853,Probably the rightful winner,Somewhat legitimate,Donald Trump,1968,52,45 - 54,Female,Divorced,Homemaker,Prefer not to say,Republican,Not very strong Republican,Donald Trump,93638,California,Somewhat conservative,High school diploma or the equivalent (GED),Yes,White,Yes,Some of the time,Nothing in particular,Never,No,Not at all important,Seldom,13
42,401472286,0.848072757864238,Definitely not the rightful winner,Not legitimate at all,,1989,31,25 - 34,Female,Divorced,Homemaker,"$70,000 - $79,999",Not sure,Independent,Did not vote for President,80909,Colorado,Moderate; middle of the road,Some college,No,White,Yes,Some of the time,Nothing in particular,Never,No,Somewhat important,Seldom,13
43,6288322,0.921294358328178,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Female,Divorced,Permanently disabled,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,80260,Colorado,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Something else,Never,No,Not at all important,Seldom,13
44,401667874,0.918480987987745,Definitely the rightful winner,Entirely legitimate,Joe Biden,1990,30,25 - 34,Male,Never married,Full-time,"Less than $10,000",Republican,Not very strong Republican,Did not vote for President,10001,New York,Very conservative,Bachelor's degree,No,White,Yes,Some of the time,Protestant,Once a week,No,Somewhat important,Once a day,13
45,39248779,1.06728784199979,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1957,63,55 - 64,Female,Married,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,8096,New Jersey,Very conservative,Some college,No,Other,Yes,Most of the time,Roman Catholic,Once or twice a month,Yes,Very important,Once a day,13
46,33127003,0.927263030157072,Definitely the rightful winner,Entirely legitimate,Joe Biden,1958,62,55 - 64,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,94546,California,Moderate; middle of the road,Master's degree,No,White,Yes,Most of the time,Protestant,A few times a year,No,Very important,A few times a week,13
47,37114591,0.520617576602788,Probably the rightful winner,Somewhat legitimate,Donald Trump,1988,32,25 - 34,Male,Married,Part-time,"$70,000 - $79,999",Independent,Independent,Other,95209,California,Slightly conservative,Bachelor's degree,Yes,Multi-racial,Yes,Most of the time,Nothing in particular,A few times a year,No,Not too important,Seldom,13
48,192384424,1.16130980385897,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1970,50,45 - 54,Female,Married,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,27516,North Carolina,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Protestant,Never,No,Very important,A few times a week,13
49,61404331,0.631037285217308,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1965,55,55 - 64,Male,Divorced,Retired,"$30,000 - $39,999",Republican,Strong Republican,Did not vote for President,91730,California,Somewhat conservative,Some college,No,Multi-racial,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
50,185622454,0.848072757864238,Definitely not the rightful winner,Not very legitimate,Donald Trump,1989,31,25 - 34,Female,Divorced,Full-time,"$60,000 - $69,999",Not sure,Not sure,Did not vote for President,97471,Oregon,Moderate; middle of the road,Some college,No,White,No,Hardly at all,Nothing in particular,Seldom,Yes,Somewhat important,A few times a week,13
51,144173389,1.07388202523208,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1942,78,75 - 84,Female,Widowed,Retired,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,15239,Pennsylvania,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Never,No,Not too important,Never,13
52,120640465,1.32898233671997,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1961,59,55 - 64,Male,Never married,Retired,Prefer not to say,Republican,Not very strong Republican,Donald Trump,1863,Massachusetts,Very conservative,Associate's degree,No,White,Yes,Most of the time,Nothing in particular,Seldom,No,Very important,Several times a day,13
53,389140564,0.883980189030823,Definitely the rightful winner,Entirely legitimate,Joe Biden,1963,57,55 - 64,Female,Never married,Permanently disabled,Prefer not to say,Democrat,Strong Democrat,Hillary Clinton,62551,Illinois,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Nothing in particular,Seldom,No,Somewhat important,Seldom,13
54,363465916,0.503776661789291,Probably not the rightful winner,Not legitimate at all,Donald Trump,1992,28,25 - 34,Male,Never married,Full-time,"$500,000 or more",Republican,Strong Republican,Donald Trump,92037,California,Very conservative,Bachelor's degree,Yes,White,Yes,Most of the time,Roman Catholic,Once or twice a month,No,Very important,Seldom,13
55,164137666,0.817430828971743,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Female,Married,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,97537,Oregon,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,13
56,204697732,1.1964222992362,Definitely the rightful winner,Entirely legitimate,Joe Biden,1987,33,25 - 34,Male,Married,Full-time,"$250,000 - $349,999",Republican,Strong Republican,Donald Trump,8831,New York,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Mormon,Once a week,No,Very important,Once a day,13
57,223418590,0.452254562061828,Probably the rightful winner,Not very legitimate,Donald Trump,1982,38,35 - 44,Male,Married,Full-time,"$80,000 - $99,999",Independent,Lean Republican,Gary Johnson,84075,Utah,Moderate; middle of the road,Master's degree,No,White,Yes,Some of the time,Protestant,A few times a year,No,Somewhat important,A few times a week,13
58,7997053,1.04352042430504,Probably the rightful winner,Somewhat legitimate,Donald Trump,1981,39,35 - 44,Male,Married,Retired,Prefer not to say,Independent,Independent,Donald Trump,55352,Minnesota,Moderate; middle of the road,Bachelor's degree,No,Black or African American,Yes,Most of the time,Protestant,A few times a year,Yes,Somewhat important,A few times a week,13
59,166734304,0.401694230271942,Probably not the rightful winner,Not very legitimate,Donald Trump,1959,61,55 - 64,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Gary Johnson,74344,Oklahoma,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,A few times a year,Yes,Very important,Several times a day,13
60,135981619,1.19460730272395,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1955,65,65 - 74,Male,Married,Full-time,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,70454,Louisiana,Very conservative,Some college,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,Several times a day,13
61,201308068,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1949,71,65 - 74,Female,Divorced,Part-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,34114,Florida,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,Several times a day,13
62,65388907,1.32898233671997,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1963,57,55 - 64,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Republican,Donald Trump,48159,Michigan,Very conservative,Associate's degree,No,White,Yes,Most of the time,Protestant,Seldom,No,Somewhat important,A few times a week,13
63,218954044,1.19801950782533,Definitely the rightful winner,Not very legitimate,,1989,31,25 - 34,Male,Married,Full-time,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,95113,California,Very conservative,Professional or doctorate degree,No,White,Yes,Some of the time,Roman Catholic,More than once a week,Yes,Very important,Several times a day,13
64,204582319,0.695842758319467,Definitely the rightful winner,Entirely legitimate,Joe Biden,1957,63,55 - 64,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,20166,Virginia,Moderate; middle of the road,Professional or doctorate degree,No,Black or African American,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
65,203110777,0.824845718484978,Probably the rightful winner,Somewhat legitimate,Someone else,1953,67,65 - 74,Male,Never married,Retired,"$10,000 - $19,999",Independent,Lean Republican,Did not vote for President,8089,New Jersey,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Once or twice a month,No,Somewhat important,Once a day,13
66,53711503,0.995161337184032,Probably the rightful winner,Somewhat legitimate,Donald Trump,1938,82,75 - 84,Female,Widowed,Retired,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,92131,California,Somewhat conservative,Some college,No,White,Yes,Most of the time,Nothing in particular,Seldom,No,Not too important,Seldom,13
67,208903132,1.06408550497027,Probably not the rightful winner,Not very legitimate,Donald Trump,1956,64,55 - 64,Male,Married,Retired,"$30,000 - $39,999",Democrat,Not very strong Democrat,Donald Trump,25550,West Virginia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,Yes,Very important,Several times a day,13
68,129324616,1.15621922996553,Definitely not the rightful winner,Not very legitimate,Donald Trump,1943,77,75 - 84,Male,Married,Retired,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,83714,Idaho,Very conservative,Master's degree,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a month,13
69,213309505,0.824845718484978,Probably the rightful winner,Somewhat legitimate,Donald Trump,1955,65,65 - 74,Male,Married,Retired,"$70,000 - $79,999",Republican,Not very strong Republican,Did not vote for President,11783,New York,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Roman Catholic,Seldom,No,Somewhat important,Once a day,13
70,135574762,0.748854292428389,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Female,Married,Homemaker,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,33805,Washington,Slightly liberal,Some college,No,American Indian or Alaska Native,Yes,Most of the time,Nothing in particular,Seldom,No,Very important,Several times a day,13
71,137865019,0.697696367080051,Definitely the rightful winner,Entirely legitimate,Joe Biden,1955,65,65 - 74,Female,Divorced,Permanently disabled,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,23435,Virginia,Somewhat liberal,Bachelor's degree,No,Black or African American,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,Several times a day,13
72,314728492,1.05161086299079,Definitely the rightful winner,Entirely legitimate,Joe Biden,1977,43,35 - 44,Female,Married,Full-time,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,52240,Iowa,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not too important,Never,13
73,137268379,0.968631343861928,Definitely the rightful winner,Entirely legitimate,Joe Biden,1938,82,75 - 84,Female,Married,Retired,"$200,000 - $249,999",Democrat,Strong Democrat,Hillary Clinton,94582,California,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Never,No,Not too important,Once a day,13
74,190059385,0.781994109868948,Definitely the rightful winner,Entirely legitimate,,1956,64,55 - 64,Female,Widowed,Retired,"$10,000 - $19,999",Democrat,Not very strong Democrat,Did not vote for President,18452,Pennsylvania,Slightly conservative,High school diploma or the equivalent (GED),No,White,No,Only now and then,Roman Catholic,Seldom,No,Somewhat important,Once a day,13
75,204760609,1.11258810630399,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1935,85,85 or older,Female,Widowed,Retired,"$10,000 - $19,999",Republican,Strong Republican,Donald Trump,85053,Arizona,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Several times a day,13
76,402293170,0.441981858365033,Definitely the rightful winner,Entirely legitimate,Joe Biden,1978,42,35 - 44,Male,Married,Full-time,"$50,000 - $59,999",Independent,Independent,Gary Johnson,67661,Kansas,Moderate; middle of the road,Associate's degree,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Not at all important,Seldom,13
77,218716918,1.28438579437875,Definitely not the rightful winner,Not very legitimate,Donald Trump,1982,38,35 - 44,Male,Never married,Full-time,"$40,000 - $49,999",Republican,Not very strong Republican,Donald Trump,8884,New Jersey,Somewhat conservative,Associate's degree,No,White,Yes,Most of the time,Roman Catholic,Never,No,Not at all important,Never,13
78,132053956,1.51875245444804,Probably the rightful winner,Entirely legitimate,,1957,63,55 - 64,Male,Married,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,20706,Maryland,Very conservative,Associate's degree,No,Black or African American,Yes,Some of the time,Roman Catholic,Once a week,Yes,Somewhat important,A few times a week,13
79,170719432,1.07445208331095,Definitely the rightful winner,Entirely legitimate,Joe Biden,1949,71,65 - 74,Male,Married,Retired,"$10,000 - $19,999",Democrat,Not very strong Democrat,Donald Trump,30083,Georgia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Never,No,Somewhat important,Once a day,13
80,175696189,0.344801875762325,Definitely the rightful winner,Entirely legitimate,Joe Biden,1943,77,75 - 84,Male,Married,Retired,"$10,000 - $19,999",Independent,Independent,Gary Johnson,48464,Michigan,Moderate; middle of the road,Associate's degree,No,White,Yes,Some of the time,Protestant,Seldom,No,Somewhat important,A few times a week,13
81,401903080,1.62088202593071,Definitely the rightful winner,Entirely legitimate,Joe Biden,1987,33,25 - 34,Female,Never married,Full-time,"$60,000 - $69,999",Democrat,Not very strong Democrat,Hillary Clinton,85224,Arizona,Moderate; middle of the road,Bachelor's degree,Yes,Hispanic/Latino/Chicano/a,Yes,Some of the time,Roman Catholic,Once a week,No,Somewhat important,Several times a day,13
82,138527461,0.792638705458039,Definitely the rightful winner,Entirely legitimate,Joe Biden,1955,65,65 - 74,Male,Married,Permanently disabled,Prefer not to say,Other,Lean Democrat,Hillary Clinton,97225,Oregon,Very liberal,Associate's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
83,399347380,0.857048221072751,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1994,26,25 - 34,Male,Married,Full-time,"$120,000 - $149,999",Independent,Independent,Did not vote for President,97124,Oregon,Somewhat liberal,Some college,Yes,Multi-racial,Yes,Most of the time,Buddhist,Never,No,Not at all important,Seldom,13
84,52428628,0.773856096376211,Definitely the rightful winner,Entirely legitimate,Joe Biden,1982,38,35 - 44,Male,Domestic / civil partnership,Full-time,"$80,000 - $99,999",Democrat,Not very strong Democrat,Hillary Clinton,77008,Texas,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
