caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,child18,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
59250484,1.06518642648438,Definitely the rightful winner,Entirely legitimate,Joe Biden,1949,71,65 - 74,Female,Divorced,No,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,31217,Georgia,Moderate; middle of the road,Associate's degree,No,Black or African American,Yes,Most of the time,Protestant,Once or twice a month,No,Very important,Several times a day,14
209412679,0.782827617767551,Definitely the rightful winner,Entirely legitimate,Joe Biden,1986,34,25 - 34,Female,Never married,No,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Did not vote for President,10004,New York,Somewhat liberal,Some college,No,Black or African American,Yes,Most of the time,Protestant,Never,No,Somewhat important,Several times a day,14
191090590,0.414265188923688,Definitely the rightful winner,Entirely legitimate,,1978,42,35 - 44,Male,Married,No,Unemployed,"Less than $10,000",Democrat,Not very strong Democrat,Did not vote for President,48910,Michigan,Moderate; middle of the road,Professional or doctorate degree,No,Black or African American,No,Most of the time,Protestant,Once or twice a month,Yes,Somewhat important,Once a day,14
164137666,0.763887369631257,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Female,Married,No,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,97537,Oregon,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,14
402007066,0.506257178671104,Definitely the rightful winner,Entirely legitimate,,1954,66,65 - 74,Female,Widowed,Yes,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Gary Johnson,87121,New Mexico,Somewhat conservative,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,Yes,Only now and then,Roman Catholic,Once a week,Yes,Very important,Once a day,14
49335289,0.993355434014861,Probably not the rightful winner,Not legitimate at all,,1956,64,55 - 64,Male,Married,No,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,92886,California,Somewhat conservative,Some college,No,White,Yes,Most of the time,Nothing in particular,A few times a year,No,Somewhat important,Once a day,14
36526591,1.64403700604592,Definitely the rightful winner,Entirely legitimate,Joe Biden,1980,40,35 - 44,Male,Never married,No,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,8046,New Jersey,Moderate; middle of the road,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,Hardly at all,Roman Catholic,A few times a year,Yes,Somewhat important,Once a week,14
124104592,1.46471285325808,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1944,76,75 - 84,Female,Widowed,No,Retired,"$20,000 - $29,999",Republican,Not very strong Republican,Donald Trump,28412,North Carolina,Somewhat conservative,Some college,No,White,Yes,Most of the time,Protestant,Seldom,No,Very important,Once a day,14
198987676,0.888161441532997,Definitely the rightful winner,Entirely legitimate,Joe Biden,1944,76,75 - 84,Female,Married,No,Retired,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,99515,Alaska,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Protestant,A few times a year,No,Somewhat important,A few times a month,14
401408968,1.61382216021986,Definitely the rightful winner,Entirely legitimate,,1997,23,18 - 24,Female,Domestic / civil partnership,Yes,Part-time,"Less than $10,000",Republican,Not very strong Republican,Did not vote for President,60645,Illinois,Slightly liberal,Associate's degree,Yes,Hispanic/Latino/Chicano/a,No,Only now and then,Roman Catholic,A few times a year,No,Very important,Several times a day,14
188331709,1.89331148154863,Probably the rightful winner,Not very legitimate,Joe Biden,1968,52,45 - 54,Male,Separated,No,Student,"Less than $10,000",Not sure,Not sure,Did not vote for President,85706,Arizona,Very conservative,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,No,Some of the time,Roman Catholic,A few times a year,No,Somewhat important,Once a day,14
394020010,0.962659325633938,Probably the rightful winner,Entirely legitimate,,1988,32,25 - 34,Female,Married,No,Homemaker,"$70,000 - $79,999",Not sure,Not sure,Did not vote for President,77469,Alabama,Moderate; middle of the road,Bachelor's degree,No,Asian/Pacific Islander,No,Don't know,Something else,A few times a year,Yes,Very important,Several times a day,14
217132618,0.84165269308847,Probably the rightful winner,Somewhat legitimate,,1991,29,25 - 34,Female,Married,Yes,Homemaker,"$30,000 - $39,999",Independent,Lean Republican,Did not vote for President,50266,Iowa,Slightly conservative,Bachelor's degree,No,Asian/Pacific Islander,No,Only now and then,Nothing in particular,Never,No,Not at all important,Never,14
205538413,0.841134927657281,Definitely the rightful winner,Entirely legitimate,,1991,29,25 - 34,Male,Never married,No,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,61062,Illinois,Moderate; middle of the road,Bachelor's degree,No,White,No,Hardly at all,Roman Catholic,Seldom,No,Not too important,Don't know,14
364367848,1.14978822298649,Definitely the rightful winner,Entirely legitimate,,1993,27,25 - 34,Female,Married,No,Unemployed,"Less than $10,000",Not sure,Not sure,Did not vote for President,24740,West Virginia,Moderate; middle of the road,Did not graduate from high school,No,White,No,Some of the time,Something else,A few times a year,Yes,Very important,Several times a day,14
140881276,1.08677796498217,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1958,62,55 - 64,Male,Married,No,Full-time,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,19154,Pennsylvania,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,A few times a year,No,Somewhat important,Never,14
6591028,0.754435984975632,Definitely the rightful winner,Entirely legitimate,Joe Biden,1981,39,35 - 44,Male,Married,No,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,43612,Ohio,Very liberal,Professional or doctorate degree,No,White,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,14
158526868,0.899288343970425,Definitely the rightful winner,Entirely legitimate,Joe Biden,1953,67,65 - 74,Female,Widowed,No,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,52349,Iowa,Somewhat liberal,Master's degree,No,White,Yes,Most of the time,Protestant,Once a week,No,Very important,Once a week,14
46151017,0.923984393583797,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Female,Divorced,No,Part-time,"$10,000 - $19,999",Democrat,Not very strong Democrat,Hillary Clinton,15202,Pennsylvania,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Protestant,Seldom,No,Very important,Several times a day,14
33254731,0.712500471139484,Definitely the rightful winner,Entirely legitimate,Joe Biden,1989,31,25 - 34,Male,Married,No,Student,"$120,000 - $149,999",Independent,Independent,Hillary Clinton,77502,Texas,Very liberal,Professional or doctorate degree,No,Asian/Pacific Islander,Yes,Most of the time,Protestant,Seldom,Yes,Not too important,Never,14
126295867,0.644148233131316,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Male,Married,No,Retired,"$70,000 - $79,999",Democrat,Strong Democrat,Did not vote for President,85750-2353,Arizona,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Jewish,Seldom,No,Somewhat important,Seldom,14
136408213,1.15981884923921,Definitely the rightful winner,Entirely legitimate,,1955,65,65 - 74,Male,Married,No,Retired,"$20,000 - $29,999",Independent,Independent,Did not vote for President,79072,Texas,Moderate; middle of the road,Some college,No,White,No,Only now and then,Protestant,More than once a week,No,Very important,Several times a day,14
169544272,1.09194962198343,Definitely the rightful winner,Entirely legitimate,Joe Biden,1991,29,25 - 34,Male,Never married,No,Unemployed,Prefer not to say,Independent,Independent,Did not vote for President,98439,Washington,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Nothing in particular,Never,No,Not too important,Seldom,14
201791275,0.858440581565434,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Female,Divorced,No,Permanently disabled,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,53149,Wisconsin,Moderate; middle of the road,Some college,No,Hispanic/Latino/Chicano/a,Yes,Most of the time,Protestant,Once or twice a month,No,Somewhat important,A few times a week,14
62525341,1.15591571045879,Probably not the rightful winner,Not very legitimate,Donald Trump,1950,70,65 - 74,Male,Married,No,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,53402,Wisconsin,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,14
205807387,2.04124884311888,Definitely the rightful winner,Entirely legitimate,Donald Trump,1996,24,18 - 24,Male,Never married,No,Full-time,"$40,000 - $49,999",Republican,Strong Republican,Did not vote for President,33025,Florida,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,More than once a week,Yes,Very important,Several times a day,14
130763731,0.999116733513139,Definitely the rightful winner,Entirely legitimate,Joe Biden,1948,72,65 - 74,Female,Never married,No,Retired,Prefer not to say,Democrat,Not very strong Democrat,Hillary Clinton,19122,Pennsylvania,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,Yes,Some of the time,Something else,Once a week,Yes,Very important,Several times a day,14
415896700,3.73929852016833,Definitely the rightful winner,Entirely legitimate,,1971,49,45 - 54,Male,Married,Yes,Part-time,"Less than $10,000",Independent,Lean Democrat,Did not vote for President,78245,Texas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Hispanic/Latino/Chicano/a,No,Some of the time,Nothing in particular,Never,No,Somewhat important,Once a day,14
401796028,1.18673191043034,Probably not the rightful winner,Not legitimate at all,Donald Trump,1950,70,65 - 74,Female,Married,No,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,44050,Ohio,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,14
216250582,2.31157464691913,Definitely the rightful winner,Somewhat legitimate,,2001,19,18 - 24,Male,Never married,No,Temporarily laid off,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,32837,Florida,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Yes,Some of the time,Buddhist,A few times a year,Yes,Somewhat important,A few times a week,14
170566630,0.17633952933139,Definitely the rightful winner,Entirely legitimate,Someone else,1960,60,55 - 64,Male,Married,No,Full-time,"$40,000 - $49,999",Republican,Strong Republican,Other,61021,Illinois,Very conservative,Some college,No,White,Yes,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,14
50085793,0.845800844315575,Definitely the rightful winner,Entirely legitimate,Joe Biden,1983,37,35 - 44,Female,Never married,No,Unemployed,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,60462,Illinois,Very liberal,Master's degree,No,Asian/Pacific Islander,Yes,Most of the time,Hindu,More than once a week,No,Very important,Once a day,14
37270408,0.668365210404213,Definitely the rightful winner,Entirely legitimate,Joe Biden,1950,70,65 - 74,Female,Married,No,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,98664,Washington,Very liberal,Associate's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,14
160308400,1.21172931435836,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1990,30,25 - 34,Male,Never married,No,Permanently disabled,"Less than $10,000",Independent,Lean Republican,Donald Trump,1854,Massachusetts,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Something else,Never,No,Not too important,A few times a month,14
144345304,1.24603019796595,Probably the rightful winner,Entirely legitimate,,1991,29,25 - 34,Male,Never married,Yes,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Did not vote for President,91024,California,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Agnostic,Never,Yes,Not too important,Never,14
199306930,1.04529424047384,Probably the rightful winner,Somewhat legitimate,Joe Biden,2001,19,18 - 24,Female,Never married,No,Unemployed,"Less than $10,000",Independent,Independent,Did not vote for President,20019,District of Columbia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,Yes,Only now and then,Nothing in particular,Once a week,No,Somewhat important,A few times a week,14
206509366,0.781262620048537,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Female,Widowed,Yes,Other,"$500,000 or more",Not sure,Not sure,Did not vote for President,32301,Florida,Moderate; middle of the road,Professional or doctorate degree,No,Other,Yes,Hardly at all,Protestant,Once a week,Yes,Very important,Once a day,14
177490912,1.11543694078943,Probably not the rightful winner,Not very legitimate,Donald Trump,1978,42,35 - 44,Female,Married,Yes,Homemaker,"$60,000 - $69,999",Republican,Not very strong Republican,Did not vote for President,44028,Ohio,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Seldom,Yes,Very important,Once a day,14
55166818,1.8250638429629,Probably not the rightful winner,Not very legitimate,Donald Trump,1961,59,55 - 64,Female,Married,No,Temporarily laid off,"$70,000 - $79,999",Independent,Independent,Hillary Clinton,32708,Florida,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Protestant,Never,Yes,Not too important,Seldom,14
343365460,1.00357810680181,Probably the rightful winner,Somewhat legitimate,,1980,40,35 - 44,Female,Never married,Yes,Retired,"$40,000 - $49,999",Democrat,Strong Democrat,Did not vote for President,69453,Illinois,Slightly conservative,Bachelor's degree,No,White,Yes,Some of the time,Nothing in particular,Seldom,No,Not too important,Once a week,14
135470287,0.926441435006974,Probably the rightful winner,Somewhat legitimate,,1970,50,45 - 54,Male,Married,Yes,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,30004,Georgia,Slightly conservative,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,A few times a year,Yes,Very important,Once a day,14
48151129,1.10878568471968,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1955,65,65 - 74,Male,Never married,No,Retired,"$30,000 - $39,999",Independent,Lean Republican,Donald Trump,60410,Illinois,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,Seldom,14
125627374,0.858636434823035,Definitely not the rightful winner,Not legitimate at all,,1968,52,45 - 54,Female,Divorced,No,Permanently disabled,"Less than $10,000",Independent,Lean Republican,Did not vote for President,77303,Texas,Very conservative,Some college,No,White,No,Hardly at all,Roman Catholic,Seldom,No,Somewhat important,A few times a week,14
309905620,1.01769930233878,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1985,35,35 - 44,Male,Married,Yes,Full-time,Prefer not to say,Republican,Strong Republican,Did not vote for President,47401,Indiana,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Don't know,Protestant,A few times a year,No,Very important,Seldom,14
378186496,0.430357226800487,Probably the rightful winner,Somewhat legitimate,Donald Trump,1974,46,45 - 54,Male,Married,Yes,Full-time,Prefer not to say,Other,Lean Republican,Evan McMullin,8816,New Jersey,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a week,14
201109798,1.32961790700149,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1946,74,65 - 74,Female,Married,No,Retired,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,12524,New York,Somewhat conservative,Some college,No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,14
185804881,0.809086246956185,Definitely not the rightful winner,Not very legitimate,,1985,35,35 - 44,Female,Married,Yes,Homemaker,"$10,000 - $19,999",Not sure,Lean Republican,Did not vote for President,72653,Arkansas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Don't know,Some of the time,Nothing in particular,Seldom,No,Somewhat important,Once a day,14
169831303,0.776585137674684,Definitely not the rightful winner,Not legitimate at all,,1966,54,45 - 54,Female,Married,No,Permanently disabled,"$70,000 - $79,999",Republican,Strong Republican,Did not vote for President,15851,Pennsylvania,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Seldom,Yes,Very important,Seldom,14
138461608,0.801261032631692,Definitely the rightful winner,Entirely legitimate,Joe Biden,1978,42,35 - 44,Male,Never married,No,Unemployed,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,94102,California,Very liberal,Some college,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
409064398,0.721260115779318,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Male,Never married,No,Unemployed,"$20,000 - $29,999",Democrat,Not very strong Democrat,Hillary Clinton,19148,Pennsylvania,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a month,14
151045861,1.10843366157781,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1954,66,65 - 74,Female,Married,No,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,85395,Arizona,Somewhat conservative,Master's degree,No,White,Yes,Most of the time,Jewish,Seldom,No,Not too important,A few times a week,14
